geoname,year,prediction
New Mexico,2010,0.091232327
New Mexico,2015,0.089992103
Oklahoma,2011,0.084091317
Oklahoma,2004,0.092013599
New Mexico,2003,0.088544616
Oklahoma,2005,0.091895978
Oklahoma,2007,0.078837496
New Mexico,2001,0.096472777
Arizona,2004,0.081145184
New Mexico,2007,0.08721975
Texas,2002,0.075384454
Texas,2007,0.064506067
Arizona,2015,0.080202531
New Mexico,2017,0.098642644
New Mexico,2004,0.08633048
New Mexico,2008,0.085564763
Texas,2010,0.069273459
Oklahoma,2011,0.084091317
New Mexico,2009,0.085778736
Arizona,2006,0.079710102
Texas,2000,0.074314157
Arizona,2003,0.077933871
Oklahoma,2006,0.084218946
Texas,2015,0.067057314
Oklahoma,2017,0.089814228
Arizona,2002,0.081073426
Texas,2014,0.066952634
New Mexico,2002,0.094016629
Oklahoma,2018,0.089637118
New Mexico,2011,0.089831007
Texas,2001,0.072811866
New Mexico,2000,0.091362144
New Mexico,2011,0.089831007
New Mexico,2003,0.088544616
Oklahoma,2000,0.092270945
Oklahoma,2014,0.081675352
Oklahoma,2003,0.090178996
Arizona,2000,0.081642857
Oklahoma,2001,0.087480885
Oklahoma,2016,0.089403227
