geoname,,,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Delaware,,,-0.02383,2.00E-05,0.01298,-0.00216,-0.00129,-0.09483,0.02702,-0.02544,-0.1698,-0.00144,-0.02126,-0.558,3.916666666
Delaware,,,0.01544,5.00E-05,-0.00188,0.0148,0.01885,-0.0784,0.05694,0.02738,0.5668,0.00096,0.04203,-0.486,-2.008333333
Florida,,,0.0599,0.0151,0.0544,0.0897,0.4734,0.3332,0.0494,-0.0126,0.1033,0.7517,0.2289,0.341,-0.475
Florida,,,0.0365,0.0262,0.0702,-0.0738,0.2801,0.2782,0.474,0.0863,0.1033,0.287,0.1962,0.033,-0.516666667
Florida,,,0.0637,-0.0342,0.1257,0.0065,0.1245,0.0821,0.2305,0.1052,0.1531,0.4256,0.223,0.288,-0.175
Florida,,,-0.0507,-0.0084,-0.0792,-0.1218,0.4194,0.303,0.5765,0.2174,0.0764,0.4591,0.3376,-0.521,0.666666667
Florida,,,0.0268,0.0102,0.0778,-0.0182,0.4026,0.1994,0.6087,0.1929,0.0384,0.2509,0.2738,0.179,0.533333333
Florida,,,-0.0256,-0.0029,0.1046,0.0366,0.0776,0.0796,0.2014,0.2242,0.1038,0.7145,0.2269,0.023,-0.491666666
Florida,,,-0.0461,-0.0038,0.325,0.1462,-0.1701,-0.1842,0.5488,0.2122,0.1609,0.5634,0.4342,0.087,-0.716666667
Florida,,,0.0958,0.0086,0.2243,0.2001,0.0745,0.4276,1.4971,0.1518,0.1739,0.8824,0.2107,0.185,-0.875
Florida,,,0.0529,-0.005,0.31,0.299,-0.0255,0.2828,0.559,0.2395,0.1863,0.3304,0.1763,0.202,-0.408333333
Florida,,,-0.1483,0.0166,0.3287,-0.0396,-0.0016,-0.03,0.2752,0.1178,0.1217,-0.2003,-0.173,-0.144,0.833333333
Florida,,,-0.0129,0.02,-0.3358,-0.0106,0.1363,-0.5982,-0.4142,0.3081,0.022,-0.6459,0.0181,-0.345,2.391666667
Florida,,,0.0995,-0.0728,-0.3259,-0.1163,-0.0635,0.1954,-0.6767,0.0107,-0.1259,-1.116,-0.3877,0.126,3.866666666
Florida,,,0.0259,-0.0158,-0.0785,0.0306,-0.0797,0.093,-0.2868,0.0541,0.0876,0.2828,0.083,-0.286,1.266666667
Florida,,,-0.1548,0.0386,-0.0323,0.1021,-0.1103,0.0361,-0.0792,0.0254,0.1244,-0.1279,0.116,-0.041,-0.825
Florida,,,-0.0112,0.0186,-0.0356,-0.047,-0.0225,0.2534,0.1298,0.1201,0.0912,0.3423,0.0907,0.012,-1.333333333
Florida,,,-0.0254,0.0072,0.2769,0.1737,0.2468,0.0799,0.3159,0.1251,0.0769,0.4433,0.0598,0.233,-1.133333334
Florida,,,0.0268,-0.0361,0.0252,0.0298,0.0427,0.4082,0.2996,0.1489,0.1529,0.4091,0.2068,-0.373,-1.1
Florida,,,0.0333,-0.0325,0.1172,-0.0134,0.296,0.0921,0.3812,0.4246,0.132,0.5571,0.3054,0.329,-0.908333333
Florida,,,0.1202,0.01999,0.89172,0.73616,0.445,1.05442,2.56101,1.10558,0.0769,1.52531,1.44939,0.23,-0.608333333
Florida,,,0.04542,-0.01139,0.06057,0.22529,-0.12673,0.25858,2.37302,0.45128,0.142,1.40453,0.38262,0.12,-0.616666667
Florida,,,0.00228,-0.00021,0.21698,0.22299,0.11777,0.05857,1.17298,0.27109,0.1903,0.53434,0.55957,0.056,-0.65
Florida,,,-0.02178,-0.01032,0.17685,0.14071,0.32763,0.20442,0.43595,0.34791,0.1268,0.34282,0.50499,0.332,-0.4
Florida,,,0.00031,0.02928,0.12495,-0.53016,-0.19505,0.22112,0.75415,-0.19822,-0.0618,0.06106,0.10891,-0.137,4.925
Florida,,,-0.07275,-0.03518,0.31557,0.83818,0.722,0.71526,1.48297,0.62569,0.6383,0.47588,1.59181,-0.07,-3.516666667
Florida,,,-0.03995,-0.00691,0.36778,0.33993,0.54805,0.13075,1.34366,0.55336,0.4478,-0.4864,1.2606,0.096,-1.758333333
Georgia,,,0.0036,0.0487,0.3181,0.0249,0.3044,0.1558,0.2602,0.0219,0.0769,0.5533,0.139,0.255,-0.3
Georgia,,,0.029,0.0159,0.3428,0.0449,0.1622,0.2029,0.3616,0.0926,0.1152,0.3272,0.1585,-0.006,-0.366666666
Georgia,,,0.024,-0.0123,-0.0391,-0.0038,0.1418,0.2291,0.158,0.0523,0.1262,0.289,0.1233,0.179,-0.283333334
Georgia,,,0.0038,-0.008,-0.113,-0.1777,0.1956,0.163,0.1587,0.0277,0.0663,0.1385,0.0694,-0.042,0.558333334
Georgia,,,-0.0579,0.0049,-0.0984,-0.0132,0.1713,-0.0742,0.0457,0.0879,0.0526,0.0072,0.0611,-0.026,1.216666666
Georgia,,,0.0448,-0.0005,-0.0869,0.0765,0.0727,0.0898,0.2234,0.0884,0.1,0.2262,0.0594,-0.213,-0.166666666
Georgia,,,-0.0014,-0.0216,0.3763,0.1655,0.4043,-0.1268,0.2317,0.0957,0.1128,0.1265,0.0557,-0.373,-0.058333334
Georgia,,,0.0455,-0.0461,0.0219,0.0297,0.4564,0.2284,0.0041,0.0726,0.143,0.3172,0.0745,0.541,0.6
Georgia,,,-0.0261,-0.0178,-0.1494,0.0098,0.2943,0.1516,-0.1925,0.0946,0.0931,0.273,0.1692,0.292,-0.608333333
Georgia,,,-0.0446,-0.0067,0.1272,0.143,0.0048,0.1629,0.0656,0.0223,0.102,-0.0154,0.0726,-0.268,-0.166666667
Georgia,,,0.0344,-0.0461,-0.3832,-0.0709,-0.3559,-0.103,0.0718,0.1049,0.0048,-0.2295,0.21,-0.553,1.875
Georgia,,,0.05,-0.0123,-0.3263,-0.1106,-0.1239,0.2304,-0.1137,0.0687,-0.1096,-0.6599,-0.1525,-0.358,3.624999997
Georgia,,,-0.0461,-0.0109,0.1139,0.0825,0.1683,-0.1535,0.0261,-0.0234,0.0583,0.0623,-0.0051,0.024,0.25
Georgia,,,-0.0693,-0.018,0.1368,0.0469,0.0549,0.0808,0.085,0.0487,0.1033,-0.0216,0.0899,0.062,-0.5
Georgia,,,0.0595,-0.002,-0.0587,0.0238,-0.0931,0.0757,0.1623,0.0656,0.0678,0.0961,0.1159,0.156,-1.116666663
Georgia,,,0.0185,0.0061,0.0188,0.0439,0.1011,-0.0296,0.1066,0.1158,0.0883,0.2167,0.0005,-0.21,-0.9
Georgia,,,-0.0175,0.0062,0.1174,0.001,0.0581,0.2071,0.062,0.0406,0.1322,0.2114,0.1592,0.229,-1
Georgia,,,0.0164,-0.0135,-0.0497,-0.0844,0.0944,0.0009,0.2206,0.1397,0.0948,0.3446,0.1566,0.151,-1.066666667
Georgia,,,0.0202,0.00899,0.99081,0.76029,0.80236,1.31363,0.88836,0.58976,0.0978,0.87517,0.67911,0.278,-0.608333333
Georgia,,,0.08403,0.02061,0.1614,0.16315,0.54284,0.37324,1.08341,0.16629,0.1458,0.58626,0.2324,0.414,-0.708333334
Georgia,,,0.00221,-0.00387,-0.05169,0.07469,-0.14263,-0.07911,0.92452,0.15167,0.1497,0.05165,0.27024,-0.385,-0.758333333
Georgia,,,-0.04987,0.00854,0.05311,-0.21199,0.56719,0.10231,0.45404,0.18423,0.1107,0.11619,0.20637,-0.002,-0.425
Georgia,,,-0.07476,0.02196,-0.15046,-0.28936,-0.27953,-0.00053,-0.28727,-0.11707,-0.0655,-0.03367,-0.0778,0.231,2.908333333
Georgia,,,0.04118,0.01615,0.32959,0.29373,0.70372,0.25385,0.28151,0.27266,0.5262,0.13557,0.53798,-0.05,-2.566666666
Georgia,,,0.08542,-0.01488,0.25807,0.30112,-0.17256,-0.27908,0.15312,0.23407,0.3725,-0.25257,0.57122,0.142,-0.883333334
Hawaii,,,0.001,0.0007,-0.0046,-0.0323,-0.0099,1.00E-04,-0.0198,-0.0255,0.0605,-0.0057,-0.039,-0.113,-0.1
Hawaii,,,0.0067,0.0013,0.0058,-0.0157,0.001,0.0113,0.03,0.0013,0.094,0.0012,-0.0028,0.471,-0.633333333
Hawaii,,,0.0029,0.0005,-0.0006,-0.0236,0.0022,0.0158,0.0118,0.009,0.1446,0.0191,0.0092,0.885,-0.941666667
Hawaii,,,-0.0033,-0.0007,0.0092,-0.0414,0.0031,0.0138,0.0139,0.0117,0.0711,0.0248,0.0257,-0.828,0.025
Hawaii,,,0.0059,-0.0016,0.0114,-0.0097,0.008,0.025,-0.0121,0.0077,0.0641,0.0144,0.0214,-0.113,-0.225
Hawaii,,,-0.0005,0.0006,0.01,0.0152,-0.0014,0.0013,0.0377,0.0128,0.1451,0.0602,0.0103,0.539,-0.141666667
Hawaii,,,-0.0056,-0.0011,-0.0059,0.0385,0.0255,0.0103,0.1012,0.0119,0.145,0.0253,0.0046,0.461,-0.616666666
Hawaii,,,0.0066,-0.0012,-0.0088,0.0431,0.0089,0.0079,0.1291,0.0145,0.2014,0.0346,0.011,0.247,-0.466666667
Hawaii,,,0.0043,0.002,-0.0015,0.025,0.0178,-0.0026,0.0328,0.0064,0.1775,-0.0024,0.0126,-0.118,-0.275
Hawaii,,,-0.0137,0.003,-0.0001,0.0037,0.0241,0.0032,0.0703,0.0043,0.1449,-0.0053,0.0064,0.273,0.175
Hawaii,,,-0.0013,-0.0009,0.0149,-0.0304,-0.0032,-0.0076,0.0279,0.0259,0.1077,-0.0226,0.0238,-0.638,1.308333333
Hawaii,,,0.0076,0.0003,0.0023,-0.0123,0.0045,1.00E-04,-0.0324,0.0051,-0.0695,-0.0454,-0.0134,-0.744,2.625
Hawaii,,,-0.0028,-0.0028,-0.0149,0.0214,0.0497,-0.0062,0.0936,-0.0022,0.0294,0.0148,-0.0082,0.408,0.166666667
Hawaii,,,-0.006,-0.002,-0.0147,-0.0033,-0.0653,0.0119,-0.0038,0.0096,0.0772,0.0272,0.0081,-0.297,0.008333333
Hawaii,,,-0.002,0.0008,0.0028,0.0031,-0.0106,0.002,0.0345,0.0048,0.0725,0.0143,-0.0003,-0.487,-0.933333333
Hawaii,,,-0.0007,-0.0002,0.0114,0.0162,0.0154,-0.007,0.0028,0.013,0.1102,0.0135,-0.0063,0.894,-1.141666667
Hawaii,,,0.002,0.0003,0.0116,-0.0045,-0.0098,0.0239,-0.0371,0.0096,0.0943,-0.0021,-0.0013,0.735,-0.525
Hawaii,,,0.0045,1.00E-04,0.007,-0.0062,0.0047,0.0031,0.0424,0.0252,0.0828,0.0143,0.0047,-0.806,-0.816666666
Hawaii,,,0.01358,0.00033,0.02107,0.17901,0.00635,0.0501,0.3533,0.07668,0.0688,0.09678,0.07042,0.846,-0.525
Hawaii,,,0.0021,-0.00202,-0.00108,0.02062,0.01595,0.03612,-0.26676,0.03988,0.1816,0.07515,0.02868,0.023,-0.675
Hawaii,,,-0.00393,0.00107,2.00E-05,0.00308,0.02301,-0.00323,0.01727,0.0217,0.1766,0.0299,0.01224,0.581,0.191666666
Hawaii,,,-0.00364,-0.00053,-0.01817,0.02564,-0.01337,0.00963,0.01247,0.02413,0.2022,0.00236,0.00496,0.761,0.108333334
Hawaii,,,-0.00011,0.00104,-0.00492,-0.19733,-0.01328,0.00836,-0.06288,-0.00466,-0.1797,-0.10191,-0.03171,-0.909,9.341666663
Hawaii,,,-0.00309,-0.00039,-0.00175,0.1112,0.05321,0.02405,0.06301,0.02161,0.5505,-0.02637,0.05503,-0.248,-5.841666663
Hawaii,,,-0.00593,-0.00057,-0.00214,0.02336,0.0109,-0.01684,0.00457,0.00883,0.5112,0.00212,0.03051,0.238,-2.541666667
Idaho,,,0.0163,0.0079,0.0155,0.0057,0.0064,0.0093,0.024,0.0172,0.061,0.0509,0.0198,0.478,0.016666666
Idaho,,,0.0208,0.0024,0.1071,0.003,0.0011,0.0064,0.0377,0.0064,0.0923,0.0243,0.0043,-0.272,-0.225
Idaho,,,0.019,-0.0042,0.1864,0.0027,0.0002,0.0086,0.0229,0.0115,0.1153,0.019,0.0119,0.093,-0.35
Idaho,,,-0.0028,-0.0069,-0.1164,-0.0101,0.0043,-0.0021,0.027,0.0128,0.0588,0.0176,0.0133,-0.035,0.425
Idaho,,,0.0193,-0.0009,-0.0077,-0.0012,0.0081,0.011,0.0167,0.0156,0.0503,0.0198,0.0144,-0.155,0.533333334
Idaho,,,-0.0323,0.0036,0.0558,0.0054,0.0061,0.0071,-1.00E-04,0.0103,0.0954,0.0494,0.0059,0.588,-0.05
Idaho,,,0.0322,-0.0019,0.0348,0.0106,0.0167,0.0117,-0.0266,0.0143,0.1142,0.0332,0.0076,0.137,-0.7
Idaho,,,0.0073,0.0527,0.0152,0.0086,0.013,0.0312,0.0729,0.0041,0.1394,0.0538,0.0015,-0.211,-0.875
Idaho,,,0.019,-0.0193,0.0217,0.0076,0.0069,0.0219,0.0631,0.023,0.1413,0.0463,0.0152,0.106,-0.566666667
Idaho,,,-0.0164,-0.0024,0.0851,-0.0028,0.0134,-0.0052,0.0598,0.0084,0.117,0.0174,-0.0002,0.244,-0.4
Idaho,,,0.0315,0.0275,0.0047,0.0011,0.0109,0.0001,1.00E-04,0.0243,0.002,-0.0094,0.0178,-0.47,2.008333333
Idaho,,,-0.0069,-0.0051,-0.0351,-0.0139,-0.01,0.01,0.0062,0.0087,-0.1145,-0.0792,-0.0056,-0.06,3.675
Idaho,,,0.0186,0.0217,0.034,0.0115,-0.0048,-0.0093,0.0006,0.005,0.0464,-0.0023,0.0048,-0.048,0.05
Idaho,,,-0.0243,-0.0431,0.0513,0.0049,-0.0022,0.0229,0.0104,-0.0031,0.0656,0.0187,-0.0181,-0.057,-0.766666667
Idaho,,,0.0363,0.0189,-0.0066,0.0021,-0.0014,0.0111,-0.0054,0.0098,0.096,0.0217,0.0091,0.518,-2.433333334
Idaho,,,0.0041,-0.015,-0.0102,-0.002,0.0055,0.009,0.0297,0.0226,0.0406,0.052,0.0259,-0.215,-0.516666666
Idaho,,,0.04717,-0.04249,0.07591,0.03499,0.02747,0.0387,0.11496,0.11961,0.1037,0.12716,0.05979,0.538,-0.191666667
Idaho,,,-0.01756,-0.00749,0.0264,0.03126,-0.00313,0.0482,0.03788,0.02203,0.1114,0.0999,0.0218,0.229,-0.458333333
Idaho,,,0.05402,-0.00209,0.08844,0.00733,0.00147,0.0076,0.08437,0.0338,0.1249,0.08444,0.03983,-0.228,-0.341666667
Idaho,,,-0.00036,0.02567,0.01073,-0.00531,-0.01443,0.03757,0.02443,-0.01291,0.0046,0.02479,0.04282,0.006,2.641666667
Idaho,,,-0.07759,0.01644,-0.01115,0.04121,0.04952,0.04735,0.06758,0.06067,0.495,0.06331,0.07926,0.772,-2.016666667
Idaho,,,0.04575,-0.02225,0.06366,-0.00325,0.0324,-0.02157,0.12157,0.05476,0.3869,-0.0609,0.07146,-1.036,-0.825
Illinois,,,-0.0637,0.0473,0.1872,0.01,0.0993,0.431,0.0442,0.0279,0.1073,0.3893,-0.1444,0.226,-0.325
Illinois,,,-0.0779,0.0544,0.0457,0.0596,0.0489,0.2377,0.3633,0.1155,0.1071,0.2484,0.309,0.375,-0.041666667
Illinois,,,0.0702,-0.0493,0.4076,-0.0013,-0.1124,0.6407,0.1751,0.0959,0.1632,0.2815,0.1231,-0.299,0.033333334
Illinois,,,-0.0262,0.0177,-0.2978,-0.1791,0.0074,0.0972,0.3042,0.0258,0.0744,0.1186,0.1137,-0.147,0.991666666
Illinois,,,0.06,-0.0283,-0.3012,-0.0437,0.1923,-0.2407,0.0779,0.1244,0.0663,0.1423,0.0732,-0.626,1.116666667
Illinois,,,0.0675,-0.0131,0.3977,0.0419,0.0602,-0.0217,-0.0511,0.0783,0.1071,0.2484,-0.0809,0.236,0.175
Illinois,,,0.0722,-0.011,0.5178,0.2093,0.1613,-0.0597,-0.0194,0.0795,0.1351,0.1693,0.2149,-0.031,-0.55
Illinois,,,-0.1701,-0.0184,-0.0926,0.0957,0.1515,0.257,0.2916,0.1178,0.1569,0.3572,0.1187,0.143,-0.458333333
Illinois,,,0.1289,-0.0033,0.1102,0.3356,0.0005,0.5302,0.1048,0.1656,0.1459,0.1999,0.192,-0.159,-1.116666667
Illinois,,,0.0057,-0.0016,0.1939,-0.1632,0.2024,0.0359,0.3521,0.0282,0.146,0.1434,0.0876,0.353,0.466666667
Illinois,,,0.1638,-0.0221,-0.597,-0.0453,0.0618,-1.2921,0.0545,0.194,0.0652,-0.122,0.3771,-0.155,1.441666666
Illinois,,,-0.0176,0.0081,-0.1049,-0.1773,-0.1388,0.9079,-0.0082,0.0526,-0.0868,-0.7897,-0.3479,-0.022,3.674999997
Illinois,,,-0.0611,-0.0113,0.2404,0.1511,-0.0596,-0.0512,0.1395,-0.054,0.1005,0.0964,-0.0515,-0.374,0.28333334
Illinois,,,0.0951,-0.005,0.547,0.1224,0.0117,0.0146,0.004,0.0696,0.1129,0.1605,0.1827,-0.211,-0.708333337
Illinois,,,-0.167,0.0235,0.5785,-0.0101,-0.0578,0.3389,0.0471,0.0655,0.0718,0.2647,0.1531,0.015,-0.708333333
Illinois,,,0.3087,0.0056,-0.7302,0.0317,0.0918,-0.4899,0.054,0.0509,0.0741,0.2288,0.011,0.193,0.025
Illinois,,,-0.1831,-0.0156,0.1157,0.0154,-0.0196,0.4062,0.1691,0.0206,0.126,0.0717,0.1591,0.026,-1.908333333
Illinois,,,-0.0413,0.0516,-0.1765,-0.1467,0.1575,0.3462,0.4596,0.1381,0.1166,0.2006,0.2744,0.67,-1.175
Illinois,,,0.11157,-0.09724,0.89947,0.70328,0.61022,1.92939,0.92547,0.85289,0.1176,1.31599,1.3037,0.052,-0.108333334
Illinois,,,0.00586,0.01379,0.13687,0.20262,-0.42588,-0.18554,0.63558,0.29494,0.1398,0.5861,0.30482,0.414,-0.933333333
Illinois,,,0.09018,0.00329,0.72281,0.18122,0.15241,-0.01852,0.16989,0.18817,0.1876,0.09696,0.42647,0.329,-0.55
Illinois,,,-0.16697,-0.0136,-0.21094,0.02249,0.36848,0.38175,-0.05638,0.04453,0.104,0.01308,0.14763,0.366,-0.433333333
Illinois,,,0.14032,-0.03611,-0.65604,-0.36646,0.10233,-1.50186,-0.28719,-0.17811,-0.0763,0.09496,-0.25119,-0.095,5.366666666
Illinois,,,0.25573,-0.01232,0.7733,0.37229,0.46589,0.16337,0.61735,0.21266,0.5527,-0.15927,0.6339,0.167,-3.241666666
Illinois,,,0.02364,0.02744,0.12606,-0.02433,0.26674,-0.12856,0.0763,0.23482,0.4912,-0.35896,0.47878,-0.744,-1.55
Indiana,,,-0.0312,0.0345,0.6379,0.0288,0.0154,0.1008,0.0155,0.0531,0.0888,0.2301,0.0274,0.053,-0.408333334
Indiana,,,-0.0379,0.0118,0.2213,0.0234,-0.0006,0.061,0.1291,0.0445,0.108,0.0681,0.0356,0.047,-0.058333333
Indiana,,,0.0523,-0.0219,0.2575,0.0282,-0.025,0.0922,0.0676,0.0654,0.1176,0.0729,0.0071,-0.222,0.1
Indiana,,,0.0089,0.0361,-0.4498,-0.067,0.0132,-0.0002,0.1202,0.0345,0.0692,0.0898,0.0381,-0.221,1.191666667
Indiana,,,-0.003,-0.0155,0.5405,-0.015,0.043,-0.0269,-0.0529,0.0381,0.0658,0.0692,0.035,0.026,0.95
Indiana,,,0.0527,-0.0046,0.428,0.0352,0.0375,0.0547,-0.0653,0.0423,0.0939,0.1605,0.007,0.079,0.083333333
Indiana,,,0.0179,-0.0292,0.468,0.0516,0.0599,0.0676,-0.0472,0.0519,0.1435,-0.0025,0.0391,-0.171,0.125
Indiana,,,-0.0613,-0.0225,-0.3071,0.0721,0.0426,0.0234,0.0998,0.0412,0.1294,0.1229,0.0277,-0.162,-0.008333333
Indiana,,,0.0467,-0.002,-0.0235,0.0852,0.0133,0.0108,-0.0567,0.0831,0.0878,0.0311,0.0399,0.244,-0.391666667
Indiana,,,-0.0151,0.0019,1.1245,-0.0412,0.0561,0.1495,-0.0016,-0.0217,0.0843,-0.0575,0.0264,0.12,-0.375
Indiana,,,0.0836,-0.0063,-0.2125,-0.0044,0.0276,-0.3244,0.0969,0.1008,0.0554,-0.0264,0.1041,-0.352,1.316666667
Indiana,,,0.0081,0.0111,-1.1901,-0.097,-0.0303,0.1929,0.0512,-0.0061,-0.0591,-0.241,-0.0548,-0.268,4.491666663
Indiana,,,-0.0257,0.0145,1.2782,0.074,-0.0148,-0.0104,0.1229,0.0149,0.0813,0.0884,0.0107,0.16,-0.35
Indiana,,,0.0201,0.0107,-0.1902,0.0286,-0.0307,0.0158,0.0388,0.0177,0.0999,0.0685,0.0477,-0.396,-1.174999997
Indiana,,,-0.0557,-0.0045,-0.255,0.0204,0.0287,0.0294,0.0868,0.0808,0.0999,0.0304,0.0094,0.106,-0.683333333
Indiana,,,0.1921,0.0092,0.4783,-0.0026,0.0261,-0.1535,-0.0003,0.0362,0.0546,0.0795,0.0105,0.336,-0.725
Indiana,,,-0.0796,0.0128,0.257,0.0115,-0.0141,0.2807,0.013,0.0462,0.0957,0.0717,0.0141,-0.254,-1.55
Indiana,,,-0.0211,-0.0347,0.2274,-0.0524,-0.0172,0.0269,-0.0027,0.0871,0.0739,0.1482,0.0597,0.48,-1.166666667
Indiana,,,-0.00076,-0.02643,0.3763,0.18419,0.02796,0.42282,0.38992,0.45522,0.1016,0.41479,0.37166,0.438,-0.416666666
Indiana,,,0.03034,0.01172,0.1155,0.16514,-0.00816,0.1383,0.299,0.17253,0.1546,0.20745,0.08368,0.198,-0.875
Indiana,,,0.02189,-0.01331,0.37016,0.01699,-0.0174,-0.0235,0.18856,0.07442,0.142,0.13608,0.11889,-0.006,-0.058333334
Indiana,,,-0.08323,-0.0157,-0.00929,-0.01257,0.04126,0.16723,0.01662,0.09496,0.0717,-0.03804,0.06551,0.673,-0.141666666
Indiana,,,0.12031,-0.00393,-0.50141,0.01079,-0.04066,-0.37784,-0.01038,-0.03809,-0.0117,0.05347,-0.03354,-0.065,4.05
Indiana,,,0.09349,2.00E-05,0.97665,0.121,0.07942,0.1048,0.28315,0.14604,0.4372,0.03226,0.24876,0.038,-3.45
Indiana,,,-0.01698,0.02477,0.66008,-0.0514,0.05606,0.0473,0.18261,0.14524,0.4014,-0.1177,0.22069,-0.566,-0.9
Iowa,,,-0.1179,0.0097,-0.0437,-0.012,0.0098,0.1035,-0.0049,0.0368,0.0859,0.065,-0.0086,0.471,-0.3
Iowa,,,-0.0824,0.0022,0.094,0.0187,0.0083,0.0213,0.0623,-0.005,0.1028,0.0433,0.0063,0.551,-0.183333334
Iowa,,,0.0933,0.0001,0.0635,0.0207,-0.0095,0.2946,0.0443,0.023,0.1125,-0.0148,-0.0014,-0.245,0.025
Iowa,,,-0.0278,-0.0049,-0.0339,-0.0197,-0.0055,-0.116,0.0446,0.0211,0.0709,0.0159,0.0189,-0.148,0.641666667
Iowa,,,0.1167,0.001,0.059,-0.0002,0.0245,0.0376,-0.0068,0.0152,0.052,0.0333,0.0161,-0.068,0.675
Iowa,,,-0.0156,0.0002,0.1259,0.0301,0.025,0.2016,0.0025,0.0116,0.1147,0.0497,0.0018,-0.079,0.45
Iowa,,,0.1579,-0.0013,0.2835,0.0593,0.0478,0.1837,0.0137,0.0325,0.1389,0.0458,0.0108,0.144,0.075
Iowa,,,-0.0804,0.0002,-0.0338,0.0274,0.0282,0.2363,0.0502,0.0114,0.1256,0.0553,-0.0038,0.267,-0.233333333
Iowa,,,0.0364,0.0002,0.2004,0.0304,0.0188,-0.1416,0.0012,0.0239,0.1231,-0.0016,0.0059,0.039,-0.591666667
Iowa,,,-0.0239,-0.0041,-0.0071,-0.0021,0.0403,0.359,0.116,-0.0044,0.0963,0.0088,0.0207,-0.062,0.016666667
Iowa,,,0.0289,-0.0086,-0.3365,-0.0305,-0.0085,0.0902,0.0395,0.0124,-0.0159,-0.0557,-0.0051,0.104,2.216666667
Iowa,,,-0.0275,-0.0025,0.1748,0.0325,-0.0076,0.0152,0.0768,-0.0207,0.0854,0.031,0.0019,-0.314,-0.283333333
Iowa,,,0.1458,-0.0025,-0.0911,0.0093,-0.0117,0.0704,0.0569,0.0088,0.1278,0.0175,0.0121,-0.04,-0.466666667
Iowa,,,-0.0918,0.0072,0.2422,0.0069,-0.0257,0.1662,0.0164,0.0316,0.0765,0.0586,0.0211,0.28,-0.591666667
Iowa,,,0.1411,-0.0021,-0.0707,-0.0032,0.0044,-0.1093,0.018,0.0065,0.0595,0.0414,0.0036,0.744,-0.333333333
Iowa,,,-0.0463,0.0039,0.0645,0.0093,-0.0109,0.2114,-0.0109,0.0296,0.1061,0.0367,0.0153,-0.387,-0.5
Iowa,,,0.0071,-0.0035,0.0326,-0.0171,0.0131,0.0262,0.0501,0.0367,0.0455,-0.0053,0.0192,0.373,-0.533333333
Iowa,,,-0.02901,-0.00613,0.25176,0.05977,0.04248,0.93409,0.15659,0.09877,0.1021,0.25162,0.16313,-0.276,-0.116666667
Iowa,,,0.0936,0.01178,0.05538,0.08014,-0.01447,0.01142,0.05223,0.04356,0.1159,0.13614,0.02441,0.394,-0.516666667
Iowa,,,0.09161,0.00011,0.17489,-0.00031,0.01082,-0.16683,-0.0181,0.019,0.1027,0.01166,0.03407,0.459,-0.483333333
Iowa,,,-0.23056,0.00699,-0.11229,-0.01746,0.04156,0.1513,-0.01388,0.01322,0.0798,-0.00842,0.01011,-0.419,0.091666667
Iowa,,,-0.11817,0.00437,0.0729,-0.01688,-0.0265,0.20376,-0.04707,-0.03486,-0.0717,0.01804,-0.01793,0.233,2.533333333
Iowa,,,0.40776,2.00E-05,0.12175,0.0367,0.06799,0.21856,0.04971,0.0368,0.4349,-0.01153,0.05972,0.053,-1.383333333
Iowa,,,0.10355,-0.01531,0.01343,-0.04156,0.05082,-0.22409,0.0465,0.015,0.3208,-0.10514,0.05163,-0.178,-1.075
Kansas,,,-0.0277,-0.0272,0.0817,0.0232,0.0093,0.037,-0.0036,0.0246,0.0992,0.1121,0.0372,-0.043,-0.116666667
Kansas,,,-0.0111,-0.0253,0.0139,0.0021,0.1078,0.0295,0.0206,0.015,0.1253,0.0067,0.0091,-0.021,-0.191666667
Kansas,,,0.004,-0.0247,0.0881,0.0177,0.0479,0.0236,0.0128,0.0115,0.1352,0.0172,-0.0114,0.39,0.291666667
Kansas,,,0.0111,0.025,-0.0125,-0.0126,-0.0189,0.0033,0.0494,0.014,0.081,0.0218,0.0346,-0.09,0.491666667
Kansas,,,-0.0153,0.0018,-0.0197,-0.0162,0.0483,0.0515,0.0141,0.0187,0.0507,0.0315,0.0252,0.107,0.816666666
Kansas,,,0.0866,-0.0241,0.0147,0.0324,0.0147,0.0267,-0.0106,0.0193,0.1093,0.0706,-0.0141,0.11,0.466666667
Kansas,,,-0.0204,0.0014,-0.0165,0.0206,-0.0375,-0.0599,-0.0025,0.0352,0.1366,0.0406,0.0168,-0.634,-0.041666667
Kansas,,,0.055,-0.0088,0.0928,0.007,0.035,0.0471,-0.0077,0.003,0.1351,0.054,0.007,-0.033,-0.441666666
Kansas,,,-0.0361,0.0164,0.2897,0.0134,0.1814,-0.0055,-0.0076,0.0116,0.1523,0.0191,0.0159,0.323,-0.641666667
Kansas,,,-0.0189,0.002,0.2485,-0.0098,0.0974,0.0566,0.0834,0.0124,0.1422,0.0196,0.0329,0.243,-0.191666667
Kansas,,,0.0806,0.0068,-0.2162,0.0073,0.0029,-0.0413,0.2434,0.0567,0.0749,0.0205,0.0605,-0.316,0.375
Kansas,,,0.089,0.0171,-0.3334,-0.0408,-0.1229,0.0274,-1.00E-04,0.0093,-0.0931,-0.0715,-0.0255,-0.393,2.283333334
Kansas,,,0.0105,-0.0099,0.2155,0.0245,-0.1708,-0.002,0.0292,0.0008,0.0495,0.0413,0.0072,0.095,0.041666666
